,HARGA,LT,LB,JKT,JKM,GRS,KOTA
112,10800000000,438,540,6,5,1,BADUNG
113,55000000000,1500,1200,7,6,1,BADUNG
114,14000000000,714,750,5,3,0,BADUNG
115,6900000000,358,450,4,3,1,BADUNG
116,55000000000,1497,1200,5,5,1,BADUNG
117,17500000000,1056,600,5,5,1,BADUNG
118,3500000000,100,156,5,4,1,BADUNG
119,15500000000,340,500,4,4,1,BADUNG
120,6900000000,188,350,3,3,0,BADUNG
121,16000000000,407,575,5,4,1,BADUNG
122,11900000000,241,571,4,5,1,BADUNG
123,7500000000,188,351,3,3,1,BADUNG
124,40000000000,1500,700,4,4,1,BADUNG
125,12500000000,371,300,4,4,0,BADUNG
126,11000000000,438,540,8,4,0,BADUNG
127,55000000000,1500,1200,6,6,1,BADUNG
128,12000000000,512,350,3,4,0,BADUNG
129,6500000000,230,400,4,4,1,BADUNG
130,13940000000,539,610,4,4,0,BADUNG
131,5700000000,168,170,3,3,0,BADUNG
132,8000000000,350,350,10,5,0,BADUNG
133,6900000000,128,315,3,3,0,BADUNG
134,8000000000,190,420,4,4,1,BADUNG
135,5500000000,107,311,4,3,1,BADUNG
136,10700000000,400,300,4,3,1,BADUNG
137,21000000000,1042,552,5,4,1,BADUNG
138,6500000000,200,300,4,4,1,BADUNG
139,16000000000,447,500,4,4,1,BADUNG
140,13500000000,385,525,5,4,1,BADUNG
141,15750000000,1060,375,3,2,1,BADUNG
142,23000000000,558,553,8,6,1,BADUNG
143,21000000000,1042,550,7,6,1,BADUNG
144,19300000000,1287,700,5,3,1,BADUNG
145,4300000000,124,187,3,3,1,BADUNG
146,20000000000,550,650,4,4,1,BADUNG
147,9550000000,251,288,4,4,0,BADUNG
148,22000000000,455,570,4,5,1,BADUNG
149,23000000000,650,600,5,5,1,BADUNG
150,55000000000,1500,1000,5,6,1,BADUNG
151,17500000000,430,820,5,6,1,BADUNG
152,8000000000,299,400,4,4,1,BADUNG
153,4600000000,109,180,2,3,1,BADUNG
154,15000000000,714,750,5,5,1,BADUNG
155,18000000000,600,400,6,6,1,BADUNG
156,1370000000,425,216,4,4,0,BADUNG
157,21000000000,1100,700,5,4,0,BADUNG
158,12000000000,315,609,5,4,1,BADUNG
159,24300000000,1944,1944,5,4,1,BADUNG
160,8000000000,380,450,5,5,1,BADUNG
161,18900000000,470,660,4,4,0,BADUNG
162,3200000000,78,65,3,2,1,BADUNG
163,21900000000,377,260,6,5,1,BADUNG
164,5600000000,269,300,4,4,1,BADUNG
165,5000000000,176,400,5,2,1,BADUNG
166,15000000000,714,750,5,5,1,BADUNG
167,4800000000,276,200,4,3,1,BADUNG
168,17000000000,663,530,7,8,1,BADUNG
169,7800000000,250,300,4,4,1,BADUNG
170,15000000000,755,416,7,6,1,BADUNG
171,13500000000,384,450,4,4,1,BADUNG
172,26500000000,1047,500,5,3,1,BADUNG
173,7500000000,170,300,4,3,1,BADUNG
174,11900000000,239,568,4,4,1,BADUNG
175,17500000000,477,520,4,3,1,BADUNG
176,15500000000,633,530,5,3,1,BADUNG
177,5500000000,188,314,4,4,1,BADUNG
178,9900000000,741,411,5,5,1,BADUNG
179,8650000000,225,518,4,4,1,BADUNG
180,3650000000,78,185,3,3,1,BADUNG
181,18500000000,660,600,5,4,1,BADUNG
182,3600000000,164,150,4,4,1,BADUNG
183,3400000000,95,156,4,3,1,BADUNG
184,18000000000,786,1000,6,7,1,BADUNG
185,17900000000,450,400,4,3,1,BADUNG
186,4500000000,124,184,3,3,0,BADUNG
187,4500000000,300,235,4,4,1,BADUNG
188,18000000000,600,500,6,6,1,BADUNG
189,15000000000,741,750,5,5,1,BADUNG
190,8000000000,380,450,5,5,1,BADUNG
191,18900000000,470,660,4,4,0,BADUNG
192,21900000000,377,260,6,5,1,BADUNG
193,5600000000,269,300,4,4,1,BADUNG
194,4000000000,117,221,4,3,1,BADUNG
195,20980000000,959,455,6,5,1,BADUNG
196,3400000000,95,156,4,3,1,BADUNG
197,25000000000,1100,550,5,4,1,BADUNG
198,11500000000,400,416,5,3,1,BADUNG
199,11510000000,233,544,7,7,0,BADUNG
200,3600000000,78,185,4,4,0,BADUNG
201,15000000000,250,460,4,4,1,BADUNG
202,17500000000,518,450,5,7,1,BADUNG
203,4000000000,117,221,4,3,1,BADUNG
204,8000000000,350,350,2,1,0,BADUNG
205,20000000000,550,600,5,5,1,BADUNG
206,30000000000,555,527,8,6,1,BADUNG
207,27000000000,670,650,4,4,1,BADUNG
208,20000000000,1040,600,4,3,1,BADUNG
209,15750000000,598,243,4,4,1,BADUNG
210,34500000000,974,800,5,6,1,BADUNG
211,4300000000,124,184,3,3,1,BADUNG
212,8500000000,230,310,5,3,0,BADUNG
213,9500000000,225,400,3,3,1,BADUNG
214,19000000000,520,500,5,5,1,BADUNG
215,13000000000,208,458,4,3,1,BADUNG
216,11900000000,239,568,4,4,1,BADUNG
217,13000000000,616,600,5,4,1,BADUNG
218,20000000000,890,600,5,5,1,BADUNG
219,7500000000,186,380,3,3,1,BADUNG
220,6150000000,158,400,3,3,1,BADUNG
221,10500000000,500,700,4,4,1,BADUNG
222,13500000000,384,450,4,4,1,BADUNG
223,55000000000,1475,1200,5,6,1,BADUNG
224,19000000000,358,635,4,5,1,BADUNG
225,13900000000,450,248,4,4,1,BADUNG
226,29500000000,923,429,9,5,0,BADUNG
227,22000000000,455,570,4,5,1,BADUNG
228,60000000000,1500,1200,6,6,1,BADUNG
229,13000000000,314,450,4,4,1,BADUNG
230,16000000000,895,420,5,5,1,BADUNG
231,18000000000,968,600,4,3,1,BADUNG
232,30000000000,1000,800,5,6,1,BADUNG
233,47000000000,1375,1400,5,5,1,BADUNG
234,6000000000,206,300,4,4,1,BADUNG
235,9550000000,251,288,4,5,0,BADUNG
236,32000000000,973,1100,5,5,1,BADUNG
237,19000000000,435,650,4,4,1,BADUNG
238,55000000000,1500,1200,6,6,1,BADUNG
239,17000000000,624,557,6,5,0,BADUNG
240,19000000000,870,700,6,4,1,BADUNG
241,14700000000,474,455,4,5,1,BADUNG
242,13800000000,260,360,6,5,1,BADUNG
243,15000000000,450,400,4,3,0,BADUNG
244,10000000000,160,250,3,4,1,BADUNG
245,6250000000,150,440,3,2,1,BADUNG
246,7800000000,200,390,4,4,1,BADUNG
247,6800000000,137,285,4,3,1,BADUNG
248,15000000000,398,500,5,4,1,BADUNG
249,19000000000,916,1000,5,7,0,BADUNG
250,6750000000,217,193,4,4,0,BADUNG
251,28000000000,330,300,3,3,1,BADUNG
252,17000000000,921,310,3,3,1,BADUNG
253,11900000000,260,365,4,4,1,BADUNG
254,9530000000,150,523,3,3,0,BADUNG
255,10400000000,282,280,4,3,1,BADUNG
256,6500000000,138,290,4,3,1,BADUNG
257,15000000000,658,500,3,3,1,BADUNG
258,6000000000,200,272,4,4,1,BADUNG
259,6900000000,137,315,3,2,1,BADUNG
260,16000000000,521,470,7,6,1,BADUNG
261,19000000000,400,788,4,3,1,BADUNG
262,25000000000,865,450,4,4,1,BADUNG
263,15500000000,1100,600,4,4,1,BADUNG
264,12600000000,540,800,5,4,0,BADUNG
265,7900000000,228,465,4,4,1,BADUNG
266,20000000000,462,645,5,5,1,BADUNG
267,5000000000,143,200,3,3,1,BADUNG
268,18000000000,1900,650,6,6,1,BADUNG
269,1100000000,90,180,3,3,1,BADUNG
270,6500000000,427,300,4,4,1,BADUNG
271,17000000000,407,850,6,5,1,BADUNG
272,6500000000,217,195,4,3,1,BADUNG
273,8500000000,307,400,4,5,1,BADUNG
274,13500000000,429,600,5,4,1,BADUNG
275,850000000,76,60,2,2,0,BADUNG
276,14000000000,460,500,5,4,1,BADUNG
277,11200000000,371,250,6,3,1,BADUNG
278,7700000000,200,373,4,3,1,BADUNG
279,10000000000,388,343,4,4,1,BADUNG
280,13500000000,282,380,4,4,1,BADUNG
281,13000000000,410,800,4,4,0,BADUNG
282,27000000000,660,800,5,4,1,BADUNG
283,19000000000,435,650,4,4,1,BADUNG
284,7000000000,384,400,4,4,1,BADUNG
285,27500000000,1068,300,5,3,1,BADUNG
286,17000000000,465,640,3,4,0,BADUNG
287,10000000000,475,600,5,5,0,BADUNG
288,6800000000,210,275,3,2,1,BADUNG
289,21000000000,754,500,4,4,1,BADUNG
290,25000000000,1340,600,8,5,1,BADUNG
291,16000000000,521,471,5,5,1,BADUNG
292,6000000000,329,500,5,3,0,BADUNG
293,21000000000,1018,600,4,4,0,BADUNG
294,33000000000,1100,450,4,4,1,BADUNG
295,2790000000,180,250,3,3,1,BADUNG
296,8500000000,307,400,7,6,0,BADUNG
297,1930000000,111,135,3,3,0,BADUNG
298,14000000000,410,800,4,4,1,BADUNG
299,12750000000,500,400,4,3,0,BADUNG
300,5000000000,188,260,4,3,1,BADUNG
301,25000000000,1040,600,4,3,0,BADUNG
